framework_id|parent_id|metric_id
"1"|"E"|"1"
"1"|"E"|"2"
"1"|"E"|"3"
"1"|"E"|"4"
"1"|"E"|"5"
"1"|"E"|"6"
"1"|"G"|"7"
"2"|"E"|"90"
"2"|"E"|"8"
"2"|"E"|"9"
"2"|"E"|"10"
"2"|"E"|"11"
"2"|"E"|"12"
"2"|"E"|"13"
"2"|"E"|"14"
"2"|"E"|"15"
"2"|"G"|"16"
"2"|"G"|"17"
"2"|"G"|"18"
"3"|"E"|"19"
"3"|"E"|"20"
"3"|"E"|"9"
"3"|"E"|"10"
"3"|"S"|"21"
"3"|"S"|"22"
"3"|"S"|"23"
"3"|"G"|"24"
"3"|"G"|"25"
"3"|"G"|"26"
"3"|"G"|"27"
"3"|"G"|"28"
"3"|"G"|"29"
"3"|"G"|"30"
"4"|"E"|"1"
"4"|"E"|"2"
"4"|"E"|"48"
"4"|"E"|"10"
"4"|"E"|"49"
"4"|"E"|"13"
"4"|"E"|"31"
"4"|"E"|"14"
"4"|"E"|"15"
"4"|"E"|"32"
"4"|"E"|"33"
"4"|"S"|"23"
"4"|"S"|"21"
"4"|"S"|"22"
"4"|"G"|"24"
"4"|"G"|"25"
"4"|"G"|"26"
"4"|"G"|"27"
"4"|"G"|"28"
"4"|"G"|"50"
"4"|"G"|"30"
"5"|"E"|"1"
"5"|"E"|"2"
"5"|"E"|"40"
"5"|"E"|"41"
"5"|"E"|"42"
"5"|"E"|"43"
"5"|"G"|"34"
"5"|"G"|"35"
"5"|"G"|"36"
"5"|"G"|"37"
"5"|"G"|"38"
"5"|"G"|"39"
"6"|"E"|"34"
"6"|"E"|"35"
"6"|"E"|"44"
"6"|"E"|"51"
"6"|"E"|"52"
"6"|"E"|"39"
"6"|"G"|"1"
"6"|"G"|"2"
"6"|"G"|"40"
"6"|"G"|"41"
"6"|"G"|"42"
"6"|"G"|"45"
"6"|"G"|"43"
"7"|"E"|"38"
"7"|"E"|"46"
"7"|"E"|"1"
"7"|"E"|"2"
"7"|"E"|"40"
"7"|"E"|"41"
"7"|"E"|"42"
"7"|"E"|"43"
"7"|"G"|"53"
"7"|"G"|"35"
"7"|"G"|"54"
"7"|"G"|"47"
